,book_id,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,overall_valence,author_last_x,author_full_x,book_year_x,book_title_x,book_file_x,period_x,author_last_y,author_full_y,book_year_y,book_title_y,book_file_y,period_y,author_last,author_full,book_year,book_title,book_file,period
10,24542,0.0175054704595186,0.03938730853391685,0.0175054704595186,0.010940919037199124,0.030634573304157548,0.0525164113785558,0.0525164113785558,0.0175054704595186,0.0087527352297593,0.0525164113785558,0.0,Cookbooks\Murrey,Thomas J. Murrey,1885,Fifty Salads,Cookbooks\Murrey1885_Salads_pg24542.txt,late1800s,Cookbooks\Murrey,Thomas J. Murrey,1885,Fifty Salads,Cookbooks\Murrey1885_Salads_pg24542.txt,late1800s,Cookbooks\Murrey,Thomas J. Murrey,1885,Fifty Salads,Cookbooks\Murrey1885_Salads_pg24542.txt,late1800s
11,25007,0.02394586153045289,0.01691827173347215,0.022123893805309734,0.014315460697553357,0.01978136387298282,0.05309734513274336,0.02706923477355544,0.019521082769390942,0.007287870900572618,0.03331598125976054,-0.026028110359187923,Cookbooks\Murrey,Thomas J. Murrey,1884,Fifty Soups,Cookbooks\Murrey1884_Soups_pg25007.txt,late1800s,Cookbooks\Murrey,Thomas J. Murrey,1884,Fifty Soups,Cookbooks\Murrey1884_Soups_pg25007.txt,late1800s,Cookbooks\Murrey,Thomas J. Murrey,1884,Fifty Soups,Cookbooks\Murrey1884_Soups_pg25007.txt,late1800s
12,29519,0.019100007640003056,0.022920009168003668,0.01787760715104286,0.009702803881121552,0.02788601115440446,0.04293681717472687,0.037054014821605925,0.01780120712048285,0.012988005195202079,0.03162961265184506,-0.005882802353120942,Cookbooks\Hooper,Mary Hooper,1892,Nelson's Home Comforts,Cookbooks\Hooper1892_NHC_pg29519.txt,late1800s,Cookbooks\Hooper,Mary Hooper,1892,Nelson's Home Comforts,Cookbooks\Hooper1892_NHC_pg29519.txt,late1800s,Cookbooks\Hooper,Mary Hooper,1892,Nelson's Home Comforts,Cookbooks\Hooper1892_NHC_pg29519.txt,late1800s
13,34107,0.016,0.02745945945945946,0.015135135135135135,0.006054054054054054,0.03027027027027027,0.02702702702702703,0.03697297297297297,0.008216216216216217,0.016432432432432434,0.02854054054054054,0.009945945945945944,Cookbooks\Santiagoe,Daniel Santiagoe,1887,The Curry Cook's Assistant,Cookbooks\Santiagoe1887_Curry_pg34107.txt,late1800s,Cookbooks\Santiagoe,Daniel Santiagoe,1887,The Curry Cook's Assistant,Cookbooks\Santiagoe1887_Curry_pg34107.txt,late1800s,Cookbooks\Santiagoe,Daniel Santiagoe,1887,The Curry Cook's Assistant,Cookbooks\Santiagoe1887_Curry_pg34107.txt,late1800s
14,38464,0.021807949349278932,0.022159690467815688,0.009497010200492437,0.007386563489271896,0.020049243756595145,0.03869152303904327,0.03130495954977137,0.011255715793176222,0.008793527963418923,0.03552585297221245,-0.0073865634892718995,Cookbooks\Murrey,Thomas J. Murrey,1891,Tempting Curry Dishes,Cookbooks\Murrey1891_Curry_pg38464.txt,late1800s,Cookbooks\Murrey,Thomas J. Murrey,1891,Tempting Curry Dishes,Cookbooks\Murrey1891_Curry_pg38464.txt,late1800s,Cookbooks\Murrey,Thomas J. Murrey,1891,Tempting Curry Dishes,Cookbooks\Murrey1891_Curry_pg38464.txt,late1800s
15,53521,0.03092075125973431,0.023934951901053596,0.01591846083371507,0.022789738891433806,0.025080164910673386,0.05989464040311498,0.03573064590013743,0.027141548327989005,0.014200641319285386,0.0364177737059093,-0.02416399450297755,Cookbooks\Murrey,Thomas J. Murrey,1888,Oysters and Fish,Cookbooks\Murrey1888_Fish_pg53521.txt,late1800s,Cookbooks\Murrey,Thomas J. Murrey,1888,Oysters and Fish,Cookbooks\Murrey1888_Fish_pg53521.txt,late1800s,Cookbooks\Murrey,Thomas J. Murrey,1888,Oysters and Fish,Cookbooks\Murrey1888_Fish_pg53521.txt,late1800s
16,54568,0.012688854239475241,0.02782407656325609,0.017742889402656056,0.016748212269476852,0.03618474111511372,0.036803053927630516,0.05330931770525297,0.02139899994623367,0.015000806494972848,0.041883972256572935,0.016506263777622453,Cookbooks\Boland,Mary A. Boland,1893,A Handbook of Invalid Cooking,Cookbooks\Boland1893_Invalid_pg54568.txt,late1800s,Cookbooks\Boland,Mary A. Boland,1893,A Handbook of Invalid Cooking,Cookbooks\Boland1893_Invalid_pg54568.txt,late1800s,Cookbooks\Boland,Mary A. Boland,1893,A Handbook of Invalid Cooking,Cookbooks\Boland1893_Invalid_pg54568.txt,late1800s
17,61185,0.016800197649384112,0.028623866163131333,0.0198708220096707,0.01895316415487241,0.03550630007411852,0.04185931599195285,0.050718243744044045,0.02262379557406558,0.01627077965623125,0.04411816609607172,0.008858927752091197,Cookbooks\Payne,Arthur Gay Payne,1877,Common - Sense Papers on Cookery,Cookbooks\Payne1877_CSPC_pg61185.txt,late1800s,Cookbooks\Payne,Arthur Gay Payne,1877,Common - Sense Papers on Cookery,Cookbooks\Payne1877_CSPC_pg61185.txt,late1800s,Cookbooks\Payne,Arthur Gay Payne,1877,Common - Sense Papers on Cookery,Cookbooks\Payne1877_CSPC_pg61185.txt,late1800s
18,12519,0.018885956129971786,0.024028397196686993,0.018385364521707474,0.009420223900973879,0.029989988167834714,0.04810230272139802,0.03658869573131883,0.015108764903977428,0.01560935651224174,0.035633020842814236,-0.011513606990079188,Cookbooks\Randolf,Mary Randolph,1860,The Virginia Housewife,Cookbooks\Randolf1860_VAHousewife_pg12519.txt,mid1800s,Cookbooks\Randolf,Mary Randolph,1860,The Virginia Housewife,Cookbooks\Randolf1860_VAHousewife_pg12519.txt,mid1800s,Cookbooks\Randolf,Mary Randolph,1860,The Virginia Housewife,Cookbooks\Randolf1860_VAHousewife_pg12519.txt,mid1800s
19,28681,0.017599002030183695,0.028618252085218794,0.019201134946065603,0.012511312770589242,0.03593180539588582,0.041068414744514836,0.05041215175011619,0.018540713744099015,0.016681750360785657,0.04434606070983049,0.00934373700560135,Cookbooks\Kitchiner,William Kitchiner,1830,The Cook's Oracle; and Housekeeper's Manual,Cookbooks\Kitchiner1830_TCO_pg28681.txt,mid1800s,Cookbooks\Kitchiner,William Kitchiner,1830,The Cook's Oracle; and Housekeeper's Manual,Cookbooks\Kitchiner1830_TCO_pg28681.txt,mid1800s,Cookbooks\Kitchiner,William Kitchiner,1830,The Cook's Oracle; and Housekeeper's Manual,Cookbooks\Kitchiner1830_TCO_pg28681.txt,mid1800s
