period,book_year,book_id,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,overall_NRC_valence,VADER_pos,VADER_neg,VADER_neu,VADER_compound
late1800s,1885,24542,0.0175054704595186,0.03938730853391685,0.0175054704595186,0.010940919037199124,0.030634573304157548,0.0525164113785558,0.0525164113785558,0.0175054704595186,0.0087527352297593,0.0525164113785558,0.0,0.07689795918367348,0.07481632653061225,0.8075102040816328,0.08634897959183672
late1800s,1884,25007,0.02394586153045289,0.01691827173347215,0.022123893805309734,0.014315460697553357,0.01978136387298282,0.05309734513274336,0.02706923477355544,0.019521082769390942,0.007287870900572618,0.03331598125976054,-0.026028110359187923,0.053726027397260276,0.027616438356164397,0.9152226027397262,0.10075239726027396
late1800s,1892,29519,0.019100007640003056,0.022920009168003668,0.01787760715104286,0.009702803881121552,0.02788601115440446,0.04293681717472687,0.037054014821605925,0.01780120712048285,0.012988005195202079,0.03162961265184506,-0.005882802353120942,0.07793548387096778,0.028958151700087174,0.8913548387096767,0.15655047951176967
late1800s,1887,34107,0.016,0.02745945945945946,0.015135135135135135,0.006054054054054054,0.03027027027027027,0.02702702702702703,0.03697297297297297,0.008216216216216217,0.016432432432432434,0.02854054054054054,0.009945945945945944,0.04098736462093865,0.0771137184115524,0.8665613718411552,0.029342057761732925
late1800s,1891,38464,0.021807949349278932,0.022159690467815688,0.009497010200492437,0.007386563489271896,0.020049243756595145,0.03869152303904327,0.03130495954977137,0.011255715793176222,0.008793527963418923,0.03552585297221245,-0.0073865634892718995,0.05946451612903229,0.03941935483870966,0.8753064516129033,0.09954225806451612
late1800s,1888,53521,0.03092075125973431,0.023934951901053596,0.01591846083371507,0.022789738891433806,0.025080164910673386,0.05989464040311498,0.03573064590013743,0.027141548327989005,0.014200641319285386,0.0364177737059093,-0.02416399450297755,0.06785216178521632,0.031082287308228738,0.9010488145048813,0.10175411436541124
late1800s,1893,54568,0.012688854239475241,0.02782407656325609,0.017742889402656056,0.016748212269476852,0.03618474111511372,0.036803053927630516,0.05330931770525297,0.02139899994623367,0.015000806494972848,0.041883972256572935,0.016506263777622453,0.06183336720178832,0.03033997155049783,0.8990902255639089,0.082171347287137
late1800s,1877,61185,0.016800197649384112,0.028623866163131333,0.0198708220096707,0.01895316415487241,0.03550630007411852,0.04185931599195285,0.050718243744044045,0.02262379557406558,0.01627077965623125,0.04411816609607172,0.008858927752091197,0.08971758191047526,0.04465620673742502,0.8647083525611431,0.1624831564374713
mid1800s,1860,12519,0.018885956129971786,0.024028397196686993,0.018385364521707474,0.009420223900973879,0.029989988167834714,0.04810230272139802,0.03658869573131883,0.015108764903977428,0.01560935651224174,0.035633020842814236,-0.011513606990079188,0.06971319018404902,0.020474693251533744,0.9090421779141108,0.207609355828221
mid1800s,1830,28681,0.017599002030183695,0.028618252085218794,0.019201134946065603,0.012511312770589242,0.03593180539588582,0.041068414744514836,0.05041215175011619,0.018540713744099015,0.016681750360785657,0.04434606070983049,0.00934373700560135,0.0568398598017888,0.10304145516074487,0.8288815566835913,0.07290558375634475
