period,VADER_pos,VADER_neg,VADER_neu,VADER_compound
1900s,0.05568410462776673,0.025045153272576712,0.9048592436974802,0.08117447331044769
late1800s,0.06762532719559514,0.03827881577759734,0.8873267442910019,0.10406329091073176
mid1800s,0.058592503654207685,0.09180037586134929,0.8397950511589092,0.09124487366881903
