topic_id,1880s,1890s,1900s,1910s,1920s,pre-1880s,topterms
0,0.026736971220793385,0.05233289938620395,0.028879546581674374,0.030785888005077172,0.03165698155024928,0.041527942060776556,juice sugar water lemon fruit pudding orange jelly syrup bottle
1,0.07062195694028646,0.026404688473490177,0.11416339974676194,0.013145211230782035,0.016877307706426294,0.04328503872104957,crumbs parsley lobster pepper sauce butter oysters egg salt mayonnaise
2,0.026554780706054167,0.022891423360289768,0.02914823180965059,0.010399636095949795,0.012561759313140443,0.06377558985570927,powder oysters flavour soda acid spice cook sweetbreads ingredients relish
3,0.021119145739529072,0.016827353574614873,0.07274419690486769,0.014671104135843905,0.03215217066720988,0.032564858240772744,knife lettuce pieces skin dressing end way oil salad slices
4,0.028842639384561906,0.04736665674035699,0.021149726154677265,0.04046430334639267,0.03161579085092752,0.03576776518434133,food rice tea family day diet foods value time grains
5,0.03076723539980965,0.034356391037496214,0.02450003173796694,0.035292742429178896,0.046022021042586445,0.026728054914712626,potatoes meal soup coffee breakfast way carrots dish dinner stock
6,0.020242927282999066,0.09051080708883256,0.014009521660593079,0.03181807700489474,0.04739181738783356,0.019588719164926775,food water body jars foods substances pressure air protein salts
7,0.07444776691828035,0.06276548185118293,0.05677526795987363,0.06360870369902966,0.046450168658746,0.047463043708741576,water minutes salt boiling tender hour boil point pieces hours
8,0.05706126360033295,0.0920507931509368,0.07072505345496359,0.06648008865630829,0.08852627557653465,0.06571676737990652,sugar eggs water milk flour butter mixture egg salt pound
9,0.018485212402350435,0.016727227349604103,0.023392201798905964,0.020953299834251912,0.06456177759603744,0.02035113060824527,cake kind method cakes pastry preparation dessert making recipes kinds
10,0.03558545919013244,0.032275289876715234,0.02137149085904195,0.05361575954287266,0.03712376782325972,0.07278667361495053,meat beef mutton roast ham chops veal steak piece steaks
11,0.05607834694490306,0.018261803377823207,0.026176700645795584,0.018675839737283425,0.011482188471877304,0.07648977952193291,soup head meat pieces stock hour turtle quarts lobster pounds
12,0.03350630600558409,0.035334884198551963,0.03152826523048859,0.01198656438122854,0.08031149694545966,0.02548341493708995,tsp salt butter pepper tomatoes milk chicken onion water toast
13,0.027439586086522447,0.023803001020743276,0.03853745410155486,0.02142952207538613,0.03325103744172616,0.03224645508615787,butter pie paste bread crust slices place filling table slice
14,0.05243131555888629,0.02087282561344695,0.030019750147780147,0.035932503632803474,0.018802691333762778,0.06246469559793522,fish water dish salt hour hours macaroni salmon day layer
15,0.026257064806291436,0.032579342674619594,0.02147044043070942,0.023766111025973792,0.05230582663999351,0.015499909943340674,egg eggs ice mixture beans cheese shell cakes place liquid
16,0.02271054873000417,0.04059346640395132,0.04086201134892673,0.03293184009935137,0.038667249793988064,0.02396884121324448,salad cooking dressing salads temperature time oil year heat meat
17,0.04443673007295058,0.03252881460778958,0.018092701225438886,0.03694000543996565,0.029869507047824994,0.02977988281274486,fat flour meat bread wheat salt hare pork potato pan
18,0.02943292422935757,0.025045928564717955,0.02419178741908405,0.03029288810390912,0.0898291484618931,0.01851735829624967,fruit fruits vegetables sugar food flavor foods cabbage apples value
19,0.03735225702683631,0.041362909878337434,0.0659305056466536,0.04035694485009465,0.04030020221170012,0.04800203390921402,bread ingredients dough time work cookery process making use things
20,0.02825708885896721,0.06545837334416509,0.023147640380246953,0.03577846640339946,0.04272458466937643,0.01621644269902435,milk cream water cheese custard dish sugar place butter boiler
21,0.040687371131559937,0.0309267001805251,0.022812938359848108,0.02702679786110258,0.022298036952942753,0.03393175391689856,oven dish bacon place minutes bone pan layer butter shells
22,0.12856347112178898,0.037925723588629466,0.04870962021484711,0.024893759324473786,0.023094608419202058,0.11368063257551339,sauce pan butter salt pepper gravy flour minutes spoonful water
23,0.025470904219394495,0.042610320529419266,0.018728571504869555,0.029882337619173534,0.045790926992050666,0.022472805569668183,coffee corn food cereals chocolate use cocoa beverages value cereal
24,0.03691072642182298,0.058186894127557176,0.11293294467477821,0.24887160546527365,0.0163326564452498,0.011690410466853778,cup teaspoon tablespoons cups water tablespoon salt milk tablespoonfuls teaspoonful
