,period,PC0,PC1,PC2
0,1900s,-0.515260278712327,0.5906965269318741,-0.00016518375570440783
1,late1800s,-0.4183049740866293,-0.6629000606444895,-0.00016518375570441014
2,mid1800s,0.7829805370856496,0.03683775635339226,-0.00016518375570441144
